用户昵称,评级,评论时间,评论内容（短评）,具体评论链接,点赞数,点踩数,回复数
Sanders,较差,2020-10-01 23:48:26,5/10（有剧透慎入） 其实相对来说，片子突出的，也是我喜欢的部分就是美术风格上的突破，娱乐性的减少。但在各方面（后面会提到）的反衬下，这为数不多的突出被湮灭了。先来说人物，从建模技术来看，本土化弱化，有一定欧美日的学习，不管剧情还是建模上这部画面确实有不小提升...,https://movie.douban.com/review/12887124/,16,3,5
陆冠均,力荐,2020-10-01 23:08:50,口碑两极分化了。 事实上，备受期待的《姜子牙》早在上映前就已承担了远超于自己“量级”的关注度，上映首日最多排片、最高票房以及无数讨论带来的高曝光度，又进一步放大了它的所有特质……这是件好事，一部耗费无数心神制作的国产动画电影，当得起这样的瞩目。 我是以一颗平...,https://movie.douban.com/review/12886949/,74,4,17
波波,,2020-10-01 14:55:15,人在电影院，心想往外奔。浪费时间钱，糟蹋我的神。想要赢口碑，故事得讲清。传统非你改，想改就能改，欺我小朋友，没看过封神。你说画面美，他说没灵魂。泱泱我大国，出此恶心人。毋须姜子牙，任谁也能行。也许换个名，此片更能红。求求电影人，放过老祖宗。无病呻吟戏，七拼...,https://movie.douban.com/review/12885670/,112,6,36
枫枰,还行,2020-10-02 08:40:14,观后内心有了底气，看到两极分化的评价，不免对一方嗤之以鼻。说比哪吒拔高观念、谈及的主题更深刻、神俗冲突打破传统……我只想说这动画编剧的水平还到不了谈论这个话题的地步，剧情的发展很突兀很刻意，前期的凄凉与悲悯很不错，但后期无论是反转还是缘由都很生硬，重点吐槽...,https://movie.douban.com/review/12887695/,25,4,7
小烨,还行,2020-10-21 00:53:30,前言：国庆档尘埃落定，我终于可以来写姜子牙和苏妲己的同人文了。 看姜子牙的时候，我就一直在想，这个展开非常像养成系爱情故事，中年帅哥和萝莉一起流浪打怪，两人日久生情，还有点《这个杀手不太冷》的调调。如果真的能顺着这条线好好讲一段美好爱情，这个电影才是真正具有...,https://movie.douban.com/review/12926565/,2,,0
临素光,推荐,2020-10-01 20:29:13,今天去看《姜子牙》，前排坐着一个几岁的孩子，开场后问道：“爸爸，他们谁是好人、谁是坏人？” 我听着觉得好笑——小孩才问谁好谁坏，大人只论谁输谁赢，成王败寇而已。 可是，真的如此吗？ 姜子牙当然胜了，他辅佐武王伐纣灭商，功勋彪炳、执掌封神大权，封三百六十五路正神...,https://movie.douban.com/review/12886433/,63,4,3
大海里的针,还行,2020-10-11 22:58:29,动漫行业最会讲故事的人，都在画漫画。 刚刚过去的2020年国庆档，国漫电影《姜子牙》交出了豆瓣7.0分，淘票票7.8分，猫眼8.3分，票房14亿的答卷。这个成绩对于一部被寄予厚望，甚至被视作《哪吒之魔童降世》姊妹篇的电影来说，实在难以令人满意。 如果说7.0分在挑剔的豆瓣平台...,https://movie.douban.com/review/12908582/,14,,3
多依尔,较差,2020-10-03 20:51:18,2019年10月12日，看完《哪吒》回到家里，我在豆瓣上写下：“看完《哪吒》后，不去看《姜子牙》也不遗憾了。” 这个制作团队没有独立思考的能力，没有自己的精神内核，没有文化沉淀的积累，有的就是媚俗！ 他们塑造的哪吒形象看起来特立独行，其本质上就是这几年兴起的叛逆风下...,https://movie.douban.com/review/12891125/,8,1,5
Paracelsus,推荐,2020-10-02 13:39:38,画面的美感强烈而独特，尤其是对传统观念中”天“的刻画——扶摇直上的天梯，似人非人的庞然大物，人在天面前的渺小疏远，构成了整部作品的基调。印象最深刻的是骨铃轻响中，玄鸟犹如流星划过天空的一幕，离离乱世的孤魂怨鬼终得救赎，令人无法不动容。相比之下，结尾的千万狐...,https://movie.douban.com/review/12888234/,9,1,0
哲学课的猫,力荐,2020-10-01 23:57:58,看了一下俩导演，一个只有短篇作品，另一个是美术设计出身。就能理解这片子的问题。 理念是一脉相承的，远了有孙悟空闹天宫，近有魁拔，甚至哪吒的我命由我也有点内味儿。 来挖掘一下这片子的危险气息。 现行统治秩序是建立在对历史（封神大战的真相）的遗忘与改写上的。本来妖...,https://movie.douban.com/review/12887175/,5,,4
天行者aiken,还行,2020-10-06 17:39:42,姜子牙 封神宇宙看来要一部一部填上了，彩蛋新出现三个人物。但是姜子牙这部电影本身实在太薄弱，情节非常非常简单，简单到一部公路动画片只打了一个怪就到目的地，然后就是战九尾。姜子牙与苏妲己之间的互动也不多，虽然看起来感情很丰富，但是细想想没有经历过什么事，姜子牙...,https://movie.douban.com/review/12897253/,4,,2
初心见晴,力荐,2020-10-21 00:10:02,在看这部电影之前收到很多朋友的差评，于是好奇的看豆瓣的短评也清一色是画面每一帧都很完美，但剧情邋遢节奏缓慢，今天看完这部电影后觉得可以给五星，给剧情给画面。这部电影颠覆了传统的国产动画，包括之前的《青蛇》和《哪吒》，采用暗黑元素和蒙太奇手法，将一部传奇娓娓...,https://movie.douban.com/review/12926526/,3,1,1
天霸,力荐,2020-10-07 13:59:57,本片乃宇智波灭族事件的大型翻案现场。 狐妖 | 宇智波 狐妖和宇智波，两个灭族事件，同样的理由（大一统与和平），同样的性质（不囚禁而灭族），同样的恶源（九尾大杀伤力注定原罪），同样的不干净（手段不干净、清理不干净）。 有趣是，不同的执行人，不同的抉择。 宇智波的执...,https://movie.douban.com/review/12898649/,2,2,0
HelloIndra,还行,2020-10-07 09:02:37,"《封神演义》,俗称《封神榜》,明朝小说，又名《商周列国全传》，写的商末周初的神仙故事。 封神榜最厉害的六个人 1、鸿钧老祖——三清之师，最强大的存在（实际上正统道教官方文书并无此人，道教也不承认这个人，完全是作者杜撰编出来的一个人） 2、通天教主——拥有法术“诛仙...",https://movie.douban.com/review/12898295/,4,3,0
谋杀游戏机,推荐,2020-10-05 22:38:33,首发于“娱理”公号 历时四年、团队超过一千人制作，延期八个月上映，《姜子牙》终于在国庆档与观众见面。 50亿票房的《哪吒之魔童降世》光环还未散去，《姜子牙》站到了更高的起点上，也承担着更大的压力。 上映两天，票房领跑，观众评价不一。有多少人称赞其主题大气深沉、画...,https://movie.douban.com/review/12895786/,3,,0
浅蓝的摩卡,推荐,2020-10-03 21:21:12,如果抛开《封神演义》的背景呢，最新上映的这部《姜子牙》应该算得上是一部值得深思的动画电影，因为这不仅仅是一部动画片，整部影片展现给观众的是一种真假道义的批判，打着解救苍生的旗号、实现一己私利的故事。无论是人还是神，无论身处何等位置，在权利和利益的支配下，神...,https://movie.douban.com/review/12891197/,9,,1
